name,category,description,prompt_text_template
売上トレンド分析,営業,週次・月次の売上推移を分析し成長率や変動要因を特定します,"売上のトレンド・成長率・季節性と変動要因を分析し改善提案を提示してください"
顧客セグメント分析,営業,顧客データをRFM分析等でセグメント化し各層の特徴を把握します,"RFM等で顧客をセグメント化し特徴・貢献度を評価し施策提案をまとめてください"
競合比較分析,営業,市場シェアや競合他社との比較分析を行い競争優位性を評価します,"市場シェアや価格・収益性等を比較し競合優位性と改善戦略を示してください"
社員満足度分析,人事,社員アンケートの結果を統計分析し組織の課題と改善点を発見します,"満足度指標と属性差異・離職リスク要因を分析し組織改善提案をまとめてください"
採用効果測定,人事,採用チャネルや手法の効果を分析し採用戦略の最適化を支援します,"チャネル別採用効果と通過率・定着率を評価しROI向上施策を提案してください"
研修効果分析,人事,研修プログラムの効果測定と受講者のスキル向上度を評価します,"研修前後スキル差とプログラム別効果を評価し改善施策を提示してください"
財務パフォーマンス分析,財務,損益計算書や貸借対照表から財務健全性と収益性を評価します,"主要財務指標推移と収益性・安全性を評価し改善提案を要約してください"
予算実績差異分析,財務,予算と実績の差異を分析し要因を特定して次期予算策定に活用します,"予算と実績の差異要因を分類し影響度と改善提案を簡潔に示してください"
コスト構造分析,財務,原価や費用の構造を分析し利益改善とコスト最適化の機会を発見します,"コスト構造と固定費/変動費・損益分岐点を分析し削減優先順位と施策を提示してください"
マーケティング効果分析,マーケティング,広告・キャンペーンの効果測定とROI分析でマーケティング戦略を最適化します,"チャネル/キャンペーン指標とROMIを評価し最適配分と改善提案を示してください"
Webサイト分析,マーケティング,Webサイトのアクセス解析とユーザー行動分析で改善点を特定します,"Web指標と行動ファネルを分析し離脱要因とUX改善案を提示してください"
商品分析,マーケティング,商品の売上パフォーマンスと市場ポジションを分析し商品戦略を策定します,"商品別売上・利益とライフサイクル/価格弾力性を分析しポートフォリオ改善提案を示してください"
品質改善分析,オペレーション,品質データから不良要因を特定し品質向上とコスト削減を実現します,"品質指標推移と不良要因・品質コストを分析し改善優先順位と施策を提示してください"
在庫最適化分析,オペレーション,在庫データから適正在庫レベルを算出し在庫コストの最適化を支援します,"在庫回転・欠品/過剰要因と需要特性を分析し適正在庫と削減施策を提示してください"
